Date,Name,Status,Project,Count
9/16/2013,Shazron Abdullah,Closed,Apache Cordova,23
2/27/2015,Shazron Abdullah,Closed,Apache Cordova,23
7/25/2018,yifan zou,Open,Beam,23
8/7/2018,Vladimir Sitnikov,Open,Calcite,23
9/20/2018,Vladimir Sitnikov,Open,Calcite,23
9/5/2017,Steve Loughran,Open,Hadoop Common,23
7/16/2018,genericqa,Patch Available,Hadoop Common,23
8/15/2018,Steve Loughran,Patch Available,Hadoop Common,23
9/25/2018,Steve Loughran,Open,Hadoop Common,23
7/4/2018,"Elek, Marton",Patch Available,Hadoop Distributed Data Store,23
7/19/2018,Bharat Viswanadham,Patch Available,Hadoop Distributed Data Store,23
9/14/2018,Nanda kumar,Patch Available,Hadoop Distributed Data Store,23
9/17/2018,Namit Maheshwari,Open,Hadoop Distributed Data Store,23
1/31/2018,Sunil Govindan,Patch Available,Hadoop YARN,23
5/15/2018,Chandni Singh,Open,Hadoop YARN,23
7/10/2018,Chen Yufei,Open,Hadoop YARN,23
6/28/2018,Nihal Jain,Patch Available,HBase,23
8/15/2018,Sean Busbey,In Progress,HBase,23
8/15/2018,Sean Busbey,Patch Available,HBase,23
9/6/2018,Hadoop QA,Patch Available,HBase,23
9/6/2018,Hudson,Resolved,HBase,23
7/3/2018,Zoltan Haindrich,Patch Available,Hive,23
7/9/2018,Hive QA,Patch Available,Hive,23
7/19/2018,Jesus Camacho Rodriguez,Patch Available,Hive,23
8/5/2018,Sankar Hariappan,Open,Hive,23
8/21/2018,Hive QA,Patch Available,Hive,23
8/23/2018,Hive QA,Patch Available,Hive,23
9/14/2018,Hive QA,Patch Available,Hive,23
9/25/2018,Taras Ledkov,Open,Ignite,23
8/6/2018,Tim Armstrong,Open,IMPALA,23
8/27/2018,Gavin,Waiting for Infra,Infrastructure,23
6/26/2018,Julian Reschke,Closed,Jackrabbit Content Repository,23
9/3/2018,Julian Reschke,Resolved,Jackrabbit Content Repository,23
6/27/2018,Toke Eskildsen,Open,Lucene - Core,23
4/26/2018,Greg Mann,Reviewable,Mesos,23
